countries,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,61.83333460666666,60.90000153,61.83333460666666,64.80000305,59.79999924,61.83333460666666,61.83333460666666,61.83333460666666
Argentina,71.74705864294117,71.74705864294117,71.74705864294117,71.74705864294117,71.74705864294117,71.74705864294117,71.74705864294117,71.74705864294117,71.74705864294117,71.74705864294117,69.0,70.30000305,70.19999695,68.80000305,70.19999695,70.59999847,70.69999695,71.69999695,72.09999847,72.40000153,72.30000305,71.80000305,71.59999847,73.59999847,74.09999847,74.5,75.80000305,71.74705864294117
Australia,83.5,84.09999847,83.90000153,84.0,83.90000153,84.19999695,84.0,84.19999695,84.19999695,84.80000305,84.90000153,84.30000305,83.90000153,83.5,84.09999847,84.59999847,84.90000153,84.90000153,85.40000153,85.5,85.90000153,86.19999695,86.09999847,86.59999847,86.80000305,87.09999847,87.5,88.0
Austria,82.90000153,83.30000305,84.0,84.0,84.69999695,85.09999847,85.19999695,85.09999847,85.19999695,85.80000305,85.80000305,86.09999847,86.59999847,86.90000153,86.19999695,85.69999695,86.09999847,86.5,86.40000153,86.69999695,87.0,86.90000153,87.0,87.40000153,87.19999695,86.69999695,86.5,85.69999695
Azerbaijan,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,54.70000076,33.20000076,33.79999924,41.0,41.79999924
Bangladesh,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,13.1499998575,12.39999962,13.1499998575,13.1499998575,13.1499998575,12.60000038,13.1499998575,13.1499998575,13.69999981,13.1499998575,13.89999962,13.1499998575,13.1499998575
Belgium,83.40000153,83.0,82.69999695,82.19999695,82.0,82.0,81.90000153,81.80000305,81.90000153,81.90000153,81.90000153,81.69999695,81.59999847,81.09999847,81.19999695,81.19999695,81.09999847,81.40000153,81.80000305,82.09999847,82.163636295,82.163636295,82.163636295,82.163636295,82.163636295,84.80000305,84.90000153,82.163636295
Bhutan,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
Bolivia,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077,54.0,56.90000153,56.5,55.40000153,56.20000076,54.20000076,51.59999847,49.40000153,47.09999847,49.76153857923077,47.59999847,49.79999924,34.90000153,33.29999924,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077,49.76153857923077
Botswana,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334,45.90000153,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334,66.19999695,68.51666641333334,68.51666641333334,68.51666641333334,73.30000305,68.51666641333334,69.80000305,82.69999695,68.51666641333334,73.19999695,68.51666641333334,68.51666641333334,68.51666641333334,68.51666641333334
Brazil,60.27857099071428,60.27857099071428,60.27857099071428,60.27857099071428,60.27857099071428,60.27857099071428,60.27857099071428,60.27857099071428,60.27857099071428,60.27857099071428,65.80000305,60.27857099071428,60.59999847,60.79999924,60.27857099071428,60.09999847,61.59999847,53.29999924,53.70000076,52.59999847,60.27857099071428,62.09999847,62.0,62.09999847,62.90000153,62.70000076,63.59999847,60.27857099071428
Bulgaria,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,83.19999695,85.5,84.69999695,84.80000305,85.80000305,86.90000153,87.59999847
Burkina Faso,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.200000048,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.599999905,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765,3.3999999765
Cambodia,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,14.766666730000003,15.19999981,16.20000076,14.766666730000003,14.766666730000003,12.89999962,14.766666730000003,14.766666730000003,14.766666730000003
Cameroon,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,14.19999981,16.700000285,16.700000285,16.700000285,16.700000285,19.20000076,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285,16.700000285
Canada,90.90000153,91.0,90.40000153,90.09999847,90.0,89.30000305,90.19999695,85.90000153,85.80000305,86.19999695,85.59999847,85.09999847,84.90000153,84.19999695,84.09999847,84.19999695,83.40000153,82.90000153,82.90000153,83.09999847,83.90000153,84.80000305,84.90000153,84.69999695,84.59999847,84.5,84.80000305,84.5
Cape Verde,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153,38.90000153
Chad,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095,4.900000095
Chile,70.19444359722222,70.19444359722222,70.19444359722222,70.19444359722222,70.19444359722222,70.19444359722222,70.19444359722222,70.19444359722222,70.19444359722222,70.19444359722222,72.90000153,69.09999847,73.40000153,69.59999847,73.90000153,69.40000153,70.09999847,70.40000153,69.19999695,69.19999695,69.40000153,68.59999847,68.5,68.19999695,68.19999695,70.19999695,71.09999847,72.09999847
Colombia,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,59.211764168235305,66.09999847,67.69999695,68.40000153,69.59999847,66.19999695,66.5,64.90000153,64.09999847,61.40000153,60.90000153,49.29999924,49.59999847,49.79999924,48.79999924,46.0,53.0,54.29999924
Costa Rica,75.30000305,75.40000153,74.30000305,74.30000305,76.0,74.19999695,75.19999695,70.40000153,70.69999695,70.69999695,70.0,69.69999695,71.90000153,71.90000153,71.90000153,71.40000153,71.19999695,69.90000153,70.90000153,71.0,70.80000305,68.80000305,68.30000305,69.5,68.80000305,71.40000153,70.69999695,73.0
Croatia,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,75.58333333333333,71.40000153,74.09999847,75.30000305,75.19999695,76.09999847,75.69999695,76.40000153,75.80000305,76.5,75.09999847,77.0,78.40000153
Cuba,82.4428569242857,91.80000305,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,82.4428569242857,84.0,84.30000305,83.59999847,82.69999695,81.5,81.0,80.09999847,80.19999695,79.69999695,79.80000305,80.40000153,82.0,83.09999847
Cyprus,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,76.42222256111111,73.69999695,73.0,76.30000305,77.0,76.30000305,76.5,76.80000305,78.5,79.69999695
Czech Rep.,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,84.53333333266666,87.0,86.80000305,86.09999847,86.0,86.09999847,85.0,84.5,83.90000153,84.0,83.19999695,82.30000305,82.59999847,83.5,83.5,83.5
Denmark,89.58076946576921,85.40000153,89.58076946576921,85.30000305,87.0,87.59999847,88.40000153,88.30000305,88.90000153,88.80000305,88.30000305,89.09999847,89.0,89.09999847,90.0,90.5,90.59999847,91.09999847,90.80000305,90.90000153,91.40000153,91.19999695,91.0,91.19999695,91.40000153,91.40000153,91.19999695,91.19999695
Djibouti,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305,75.80000305
Dominican Rep.,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,55.653333791333324,57.40000153,55.70000076,57.70000076,60.20000076,58.29999924,59.40000153,53.90000153,53.20000076,52.0,56.29999924,54.90000153,53.90000153,54.09999847,55.09999847,52.70000076,55.653333791333324,55.653333791333324
Ecuador,56.17894744842106,56.17894744842106,56.17894744842106,56.17894744842106,56.17894744842106,56.17894744842106,56.17894744842106,56.17894744842106,56.59999847,55.59999847,54.40000153,54.5,51.70000076,52.20000076,53.29999924,53.40000153,52.5,54.20000076,53.09999847,59.29999924,59.5,59.40000153,58.40000153,61.29999924,58.20000076,60.09999847,59.70000076,56.17894744842106
Egypt,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,59.83571406857142,55.79999924,56.40000153,57.09999847,69.69999695,60.0,59.79999924,61.09999847,59.90000153,61.5,60.20000076,57.90000153,56.5,60.0,61.79999924,59.83571406857142
El Salvador,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,54.10714312857143,57.0,54.79999924,52.20000076,51.90000153,52.70000076,58.70000076,60.20000076,52.09999847,51.70000076,51.0,53.5,54.90000153,52.09999847,54.70000076,54.10714312857143
Equatorial Guinea,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038,21.10000038
