countries,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,46.90000153,47.0,47.0,46.90000153,46.90000153,46.90000153,47.70000076,48.5,49.29999924,50.09999847,50.90000153,51.70000076,52.5,53.40000153,54.20000076,54.90000153,55.59999847,56.09999847,56.40000153,56.79999924,57.20000076,57.79999924,58.20000076,58.40000153,58.79999924,59.0,59.40000153,59.70000076
Argentina,57.70000076,57.90000153,58.20000076,58.59999847,58.59999847,58.79999924,58.90000153,58.90000153,59.0,59.09999847,59.20000076,63.29999924,63.5,63.79999924,64.09999847,64.5,64.90000153,65.40000153,65.90000153,66.40000153,66.90000153,67.30000305,67.80000305,68.19999695,68.59999847,69.0,69.5,69.40000153
Australia,69.59999847,69.5,69.19999695,68.90000153,69.19999695,69.59999847,71.09999847,71.30000305,71.90000153,72.90000153,73.59999847,73.09999847,72.90000153,72.80000305,73.30000305,74.19999695,74.09999847,73.69999695,73.69999695,73.59999847,74.0,74.19999695,74.30000305,74.59999847,74.59999847,75.5,75.90000153,75.69999695
Austria,66.5,66.40000153,65.90000153,65.30000305,66.09999847,65.59999847,65.90000153,66.59999847,66.59999847,67.0,67.69999695,68.30000305,69.40000153,69.69999695,70.80000305,71.30000305,70.69999695,70.69999695,70.59999847,70.80000305,70.69999695,70.80000305,71.90000153,72.40000153,71.90000153,72.59999847,73.5,73.59999847
Azerbaijan,76.30000305,75.69999695,75.69999695,75.5,75.09999847,74.80000305,75.40000153,75.69999695,74.90000153,75.40000153,76.0,68.30000305,68.30000305,68.19999695,67.40000153,66.69999695,67.0,67.40000153,68.09999847,68.59999847,69.40000153,69.80000305,70.09999847,70.40000153,70.5,70.30000305,69.5,71.19999695
Bangladesh,75.0,75.19999695,75.5,75.69999695,75.90000153,76.09999847,76.30000305,76.5,76.69999695,76.90000153,77.0,77.09999847,76.40000153,75.80000305,75.0,74.30000305,73.5,73.5,73.40000153,73.30000305,73.09999847,73.30000305,73.5,73.59999847,73.69999695,73.80000305,73.80000305,73.69999695
Belgium,60.09999847,60.29999924,59.90000153,59.90000153,59.79999924,59.79999924,59.70000076,59.0,58.40000153,58.79999924,58.79999924,60.09999847,60.5,60.79999924,61.70000076,62.09999847,62.20000076,62.59999847,63.09999847,64.5,65.19999695,63.59999847,64.0,64.19999695,65.19999695,66.30000305,65.90000153,66.09999847
Bhutan,61.09999847,60.70000076,60.20000076,59.59999847,59.09999847,58.70000076,58.40000153,58.09999847,57.90000153,57.70000076,57.20000076,56.59999847,55.79999924,54.90000153,54.09999847,53.5,53.09999847,52.79999924,52.90000153,53.29999924,54.20000076,55.59999847,57.40000153,59.29999924,61.09999847,62.5,63.59999847,64.69999695
Bolivia,62.79999924,62.70000076,62.90000153,63.0,63.0,63.0,63.90000153,64.69999695,65.0,65.19999695,65.5,65.69999695,65.90000153,66.09999847,66.19999695,66.19999695,66.90000153,71.90000153,72.0,72.09999847,72.09999847,72.59999847,73.0,73.5,74.09999847,74.59999847,75.30000305,75.69999695
Botswana,64.30000305,64.40000153,64.59999847,64.90000153,65.09999847,65.30000305,64.5,63.79999924,63.0,62.29999924,61.5,60.79999924,60.09999847,59.29999924,58.40000153,57.40000153,56.40000153,59.79999924,62.5,61.40000153,60.09999847,57.79999924,57.40000153,57.40000153,57.20000076,57.09999847,57.09999847,57.5
Brazil,62.20000076,62.59999847,62.90000153,63.09999847,63.20000076,63.20000076,63.29999924,64.0,64.0,64.19999695,64.40000153,65.59999847,66.80000305,67.19999695,67.80000305,68.40000153,68.19999695,69.30000305,70.0,70.80000305,71.19999695,71.5,72.5,72.69999695,73.59999847,73.90000153,74.19999695,74.69999695
Bulgaria,79.09999847,78.69999695,78.19999695,77.59999847,77.09999847,76.69999695,75.40000153,74.09999847,72.90000153,72.19999695,71.69999695,68.90000153,69.0,67.90000153,66.80000305,65.69999695,64.5,63.20000076,61.90000153,60.40000153,58.70000076,63.0,62.5,61.09999847,62.0,62.40000153,65.0,62.59999847
